Barcelona                                        barselona
Demize                                           demizi
Central Florida Panthers SC                      sentral florida panTersi
Miami Dutch Lions                                maiami datC laionsi
Kansas City NWSL                                 kanzas siTi
Gijduvon                                         giJduvani
Turon                                            turoni
Sexypoexyt                                       poqsiti
Kouvolan Jalkapallo                              kouvolan jalkapalo
Gaza Sporting Club                               gaza sporting qlabi
Vasalunds                                        vasalundi
Kiruna FF                                        kiruna
Sund IF                                          sund if
Aelgarna-Haernoesand IF                          algarna
Saeffle SK                                       sefle sk
IFK Uppsala                                      upsala
Houston Dynamo 2                                 dinamo hiustoni 2
Midwest United                                   midvest iunaitedi
Davis Legacy                                     deivis legasi
Southern California Seahorses                    sauTern kalifornia
CA Saint Louis                                   ka sent-luisi
Yangiyer                                         iangieri
PFC Shurtan                                      Surtani
Mirandes                                         mirandesi
Fuenlabrada                                      fuenlabrada
Real Sociedad B                                  real sosiedadi b
Real Zaragoza                                    real saragosa
Turkmenistan                                     TurqmeneTi
Myanmar                                          mianma
Malaysia                                         malaizia
Brunei                                           brunei
Al-Ittihad Al-Sakandary                          el itihad sakandari
Misr El-Maqasa                                   misr el-maqasa
Caracas                                          karakasi
The Strongest                                    strongesti
Boca Juniors                                     boka xuniorsi
Deportivo Cali                                   deportivo kali
Always Ready                                     olveiz redi
Cuiaba                                           kuiaba
Racing Club                                      rasingi
Atletico Junior                                  atletiko xuniori
Union                                            iunioni
Oriente Petrolero                                oriente petrolero
Fluminense                                       fluminense
CS Constantine                                   konstantina
HB Chelghoum Laid                                hb Selgum laidi
NA Hussein Dey                                   na husein dei
RC Arbaa                                         arbaa
NC Magra                                         magra
MC Oran                                          orani
Olympique de Medea                               olimpik de medea
US Biskra                                        biskra
Paradou AC                                       paradu
USM Alger                                        usm alJiri
RC Relizane                                      relizani
CR Belouizdad                                    beluizdadi
MT Druitt Town Rangers                           druit Taun reinjerzi
Blacktown City                                   bleqTaun siTi
Wollongong Wolves                                sauT qoust vulvzi
Northbridge FC Bulls                             norTbrij bulzi
Gold Coast Knights                               gold qost naiTsi
Logan Lightning                                  logan laiTningi
Campbelltown City                                kempbelTaun siTi
Adelaide City                                    adelaida siTi
Eastern Lions SC                                 isTern laionzi
Darwin Hearts                                    darvin harTsi
University Azzurri                               universiti aZuri
Caboolture                                       kabulturi
Sunshine Coast                                   sanSain qousti
Pascoe Vale SC                                   pasko veili
Northcote City                                   norTqout siTi
Magic United TFA                                 mejiq iunaited tfa
Souths United                                    sauTs iunaitedi
Moreton Bay United Jets                          moreton bei iunaited jetsi
Adelaide University                              adelaida iuniversiTi
Salisbury Inter                                  salisberi interi
Fulham United                                    fulhem iunaitedi
West Torrens Birkalla                            vest torens birkala
Metro United                                     metro iunaitedi
Mauerwerk                                        mauerverki
SV Stripfing                                     stripfingi
Marchfeld Mannsdorf                              marSfeldi
SC Team Wiener Linien                            Tim viner linieni
SC Neusiedl am See 1919                          noizidli 1919
SC Wiener Viktoria                               viner viqtoria
SV Leobendorf                                    leobendorfi
Admira Wacker II                                 admira II
Wiener Neustadt                                  viner noiStadti
ASK-BSC Bruck/Leitha                             bruki
First Vienna                                     ferst vena
Wiener Sport-Club                                viener sportklubi
Kalsdorf                                         kalsdorfi
SV Spittal/Drau                                  spitali
SAK 1914                                         zak 1914
Pinzgau Saalfelden                               saalfeldeni
Woergl                                           viorgli
Reichenau                                        raixenau
SV Innsbruck                                     sf insbruki
Hall                                             hali
Zira                                             ziria
Qarabag                                          yarabaxi
Abahani Ltd. Chittagong                          abahani Citagongi
Sheikh Jamal                                     Seix jamali
Isloch                                           isloCi
Dnyapro Mogilev                                  dniapro
Slutsk                                           slucki
Gomel                                            gomeli
Velez Mostar                                     veleJi
Sarajevo                                         saraevo
Vasco da Gama                                    vasko de gama
Brusque                                          bruske
Nautico                                          nautiko
Sao Bento                                        san bentu
Sharjah Brasil                                   Sarja brazili
Botev Vratsa                                     botev vraca
Etar                                             etiri
AS Fortuna                                       fortuna mfu
Etoile du Congo                                  etual du kongo
CARA Brazzaville                                 kara brazavili
Nathalys de Pointe-Noire                         natalis de puent-nuari
AS Cheminots                                     Seminoti
NK Sesvete                                       sesvete
Jarun                                            iaruni
1. FC Karlovy Vary                               1. fk karlovi vari
Pribram B                                        pribrami b
Motorlet Prague                                  motorlet praRa
Loko Vltavin                                     vltavini
Pisek                                            piseki
Viktoria Plzen B                                 viqtoria plzeni b
Karvina                                          karvina
Hradec Kralove                                   hradec kralove
B 1903                                           b 1903
BK Union                                         bk iunioni
Greve                                            greve
Avarta                                           avarta
Herstedoester IC                                 herstedosteri
Alleroed                                         aleriodi
Solroed                                          solriodi
Broenshoej                                       bronshoi
Taarnby FF                                       taarnbiu
GVI                                              gvi
B 1913                                           b-1913
Hedensted                                        hedenstedi
Oure FA                                          oure
Sydvest 05                                       siudvesti
Noerresundby                                     noresundbiu
Holstebro                                        holstebro
Odder IGF                                        oderi igf
VRI                                              vri
Broendby                                         brondbiu
Nordsjaelland                                    nordsielandi
Varde                                            varde
AaB                                              olborgi
CD America de Quito                              amerika de qito
Olmedo                                           olmedo
B36 Torshavn                                     b36 torshavni
HB Torshavn                                      hb torshavni
Klaksvik                                         klaksviki
EB/Streymur                                      eb/streimuri
PK-35 Vantaa                                     pk-35 vantaa
Bordeaux                                         bordo
Paris                                            parizi
Sioni Bolnisi                                    sioni
Saburtalo                                        saburTalo
Dila Gori                                        goris dila
Lokomotivi Tbilisi                               lokomotivi Tbilisi
Rustavi                                          rusTavi
Merani                                           merani
Fjoelnir                                         fiolniri
Throttur Vogum                                   trotur vogumi
Kheybar Khorramabad                              xeibar xoramabadi
Qashqai                                          kaSkai
Khooshe Talaee Sana Saveh                        xoSe talai sana savehi
Rayka Babol                                      raika baboli
Machine Sazi                                     sazi tebrizi
Malavan                                          malavani
Mes Shahr Babak                                  mes Sahr babaki
Vista Turbine                                    vista turbine
SaIPa                                            saipa
Arman Gahar Sirjan                               arman gohari
Shahrdari Astara                                 Sahrdari astara
Mes Kerman                                       mes kermani
Shams Azar Qazvin                                Sams azari
Shahrdari Hamedan                                Sahrdari hamedani
Esteghlal Molasani                               esteglal molasani
Shahin                                           Sahini
Pars Jonoubi Jam Bushehr                         jem buSeri
Esteghlal Khuzestan                              esteglal xuzestani
Bray Wanderers                                   brei uonderersi
Athlone Town                                     aTlon Tauni
Cobh Ramblers                                    kob ramblersi
Longford Town                                    longford Tauni
Galway United                                    goluei iunaitedi
Cork City                                        kork siTi
Waterford                                        uoterfordi
Treaty United                                    Triti iunaitedi
Rezekne/BJSS                                     rezekne
Skanstes SK                                      skanstesi
Klaipedos Fsm                                    klaipedos fsm
Suduva B                                         suduva b
Saned Joniskis                                   saned ioniSkisi
Kauno Zalgiris B                                 spiris kaunasi b
F91 Dudelange                                    f91 diudelanJi
Racing FC Union Luxembourg                       rasing luqsemburgi
Perak                                            peraki
Johor Darul Ta'zim II                            johori
Selangor Pkns                                    selangor pkns
Kelantan                                         kelantani
Kelantan United                                  kelantan iunaitedi
Atlas                                            atlasi
Mamry Gizycko                                    mamri giziCko
Jagiellonia II Bialystok                         iagelonia belostoki II
Bron Radom                                       bron radomi
KS Blonianka Blonie                              blonianka bloni
Lechia Tomaszow Mazowiecki                       tomaSov mazovecki
MKS Kutno                                        kutno
Pocheon Citizens                                 poCxoni
Siheung Citizen                                  sixin siTizeni
Paju Citizens                                    pxaju siTizensi
CS Universitatea Craiova                         universitatia kr
Botosani                                         botoSani
Al Hazm                                          al hazmi
Al Batin                                         al bateni
Al-Raed                                          al-raedi
Al Shabab                                        al Sababi
Geylang International                            geilang interneSnli
Kosice                                           koSice
San Sebastian de los Reyes                       san sebastiani
Athletic Bilbao B                                aTletik bilbao b
Real Madrid Castilla                             madridis reali b
Betis Deportivo Balompie                         betis deportivo
KIF Orebro                                       erebru
Eskilstuna United DFF                            eskilstuna iunaitedi
Albion                                           albioni
Danubio                                          danubio
Kaw Valley                                       kav veli
Wichita                                          uiCito
Brazos Valley Cavalry                            brazos valei kavalri
AC Houston Sur                                   hiustoni
Lehigh Valley United                             lihai valei iunaitedi
Little Rock Rangers                              liTl rok reinjersi
Irving                                           irvingi
Brownsville                                      braunsvili
Neftchi Fargona                                  neftCi
Navbahor Namangan                                navbahori
Andijon                                          andiJani
Zomin                                            zaamini
Hermanos Colmenarez                              ermanos kolmenaresi
Zulia                                            zulia
Deportivo Lara                                   deportivo lara
Modbury Vista                                    modberi vista
Deportivo Santa Elena                            deportivo santa elena
Rio Aguarico                                     rio aguariko
Liverpool                                        liverpuli
Mansfield Town                                   mansfild Tauni
Port Vale                                        port veile
Wrexham                                          reqshemi
Lugo                                             lugo
Malaga                                           malaga
SD Amorebieta                                    amorebieta
Ponferradina                                     ponferadina
Goias                                            goiasi
Melbourne City                                   melburn siTi
Western United                                   vestern iunaitedi
IFK Gothenburg                                   geteborgi
Kalmar FF                                        kalmari
Haecken                                          hekeni
Sirius                                           siriusi
El Geish                                         al gaiSi
Ismaily SC                                       el ismaili
Smouha SC                                        smuha
Ilves                                            ilvesi
Ethiopia                                         eTiopia
Lesotho                                          lesoTo
India                                            indoeTi
Esbjerg fB                                       esbiergi
Jammerbugt                                       iamerbugti
Fremad Amager                                    fremad amageri
Vendsyssel FF                                    ioringi
HB Koege                                         hb kioge
Hobro                                            hobro
UAE                                              a.g.s.
Vietnam                                          vietnami
MC Alger                                         ms alJiri
JS Kabylie                                       kabilie
Independiente Rivadavia                          independiente rivadavia
Club Atletico Estudiantes                        estudiantesi
Agropecuario                                     agropekuario
Brown de Adrogue                                 braun de adroge
Instituto Cordoba                                instituto
Nueva Chicago                                    nueva
CSD Flandria                                     flandria
Villa Dalmine                                    vilia dalmine
Guillermo Brown                                  gilermo
CA Fenix                                         feniqsi
Ituzaingo                                        itusaingo
Deportivo Armenio                                deportivo armenio
CA Defensores Unidos                             defensores unidosi
Acassuso                                         akasuso
CA San Miguel                                    san migeli
Los Andes                                        los andesi
CA Talleres Remedios de Escalada                 talieres remediosi
Colegiales                                       kolegialesi
CD UAI Urquiza                                   uai urkiza
Justo Jose de Urquiza                            xusto xose de urkisa
Dock Sud                                         dok sudi
Canuelas                                         kaniuelasi
Villa San Carlos                                 vila san karlosi
Argentino de Quilmes                             arxentino de qilmesi
Sportivo Estudiantes                             sportivo estudiantesi
CASD Camioneros                                  kamionerosi
Argentino de Rosario                             arxentino de rosario
Juventud Unida San Miguel                        xuventud unida san migeli
Deportivo Paraguayo                              deportivo paragvaio
Gimnasia Y Esgrima La Plata                      ximnasia i esgrima
Club El Porvenir                                 el porveniri
Sevan                                            sevani
Ararat Armenia                                   ararat armenia
O'Connor Knights                                 o'konor naiTsi
West Canberra Wanderers                          vest kanbera uonderersi
Monaro Panthers                                  monaro panTersi
Belconnen United                                 belkonen iunaitedi
Manly United                                     menli iunaitedi
APIA Leichhardt Tigers                           apia leixardt Taigersi
Marconi Stallions                                markoni stalionzi
Sydney FC Youth                                  sidnei iusi
Adamstown Rosebud                                adamsTaun rouzbadi
Newcastle Olympic                                niukasl olimpiki
Maitland                                         meitlendi
Lambton Jaffas                                   lembton jafasi
Brisbane City                                    brisben siTi
Peninsula Power                                  peninsula faueri
Eastern Suburbs                                  isTern saberbsi
Olympic                                          olimpiki
Lions                                            laionsi
Croydon Kings                                    kroidon qingzi
Cumberland United                                kamberlend iunaitedi
Adelaide Comets                                  adelaida kometsi
North Eastern Metro Stars                        norT isTern metro sTarzi
Adelaide Olympic                                 adelaida olimpiki
South Adelaide                                   sauT adelaida
White City Woodville                             uaiT siTi vudvili
Sturt Lions                                      stiort laionsi
Adelaide United Youth                            adelaida iunaited iusi
Avondale                                         eivondeili
Dandenong City                                   dandenong siTi
St Albans Saints                                 seint elbans seinTsi
Port Melbourne Sharks SC                         port melburn Sarqsi
Hume City                                        hium siTi
Altona Magic                                     altona mejiqi
Green Gully Cavaliers                            grin gali
South Melbourne                                  sauT melburni
Bentleigh Greens                                 bentli grinsi
Dandenong Thunder SC                             dandenong Tanderi
Heidelberg United                                heidelberg iunaitedi
Armadale                                         armadale
Inglewood United                                 inglvud iunaitedi
ECU Joondalup                                    eku jondalupi
Sorrento                                         sorento
Perth SC                                         perTi sk
Bayswater City                                   beisuoter siTi
Floreat Athena                                   floreat aTena
Perth Glory Youth                                pert glori iusi
Mindil Aces                                      mindil eisesi
Port Darwin                                      port darvini
Casuarina                                        kazuarina
Hellenic                                         eleniki
Blacktown Spartans                               bleqTaun spartansi
Northern Tigers                                  norTern Taigersi
Bonnyrigg White Eagles                           bonirig uaiT iglzi
Mounties Wanderers                               maunTis uonderersi
Hakoah Sydney City East                          hakoa sidnei
St George                                        sent jorji
SD Raiders                                       sd raidersi
Hills United                                     hils iunaitedi
St George City                                   sent jorj siTi
Central Coast Mariners Youth                     central qost mariners iusi
Spirit                                           spiriti
Western Sydney Wanderers FC Youth                sidnei uonderers iusi
Brisbane Strikers                                brisben sTraiqersi
Magpies Crusaders                                megpais kruseidersi
Adelaide Victory                                 adelaida viqtori
Adelaide Raiders                                 adelaida reidersi
Adelaide Blue Eagles                             blu iglzi
Modbury Jets                                     modberi jeTsi
West Adelaide                                    vest adelaida
Para Hills Knights                               para hilz naiTzi
Port Adelaide Lion SC                            port adelaida laion sk
Playford City Patriots                           pleiford siTi patriotsi
Adelaide University SC                           adelaida universiti sk
Brunswick City                                   bransvik siTi
Goulburn Valley Suns                             goulbern veli sansi
Manningham United Blues                          maningem iunaited bluzi
Langwarrin SC                                    langvarin sk
North Geelong Warriors                           norT jilong uoriorzi
Moreland City                                    molend siTi
Werribee City                                    veribi siTi
Moreland Zebras                                  molend zebrazi
Samford Rangers                                  semford reinjersi
Holland Park Hawks                               holand park hoqsi
Brisbane Roar QAS                                brisben roar qas
FFSA NTC                                         ffsa nts
FCM Traiskirchen                                 traiskirxeni
ASV Drassburg                                    drasburgi
Wolfsberger AC                                   volfsbergi
SK Bischofshofen                                 biSofshofeni
SV Grodig                                        gredigi
Admira Dornbirn                                  admira dornbirni
SV Telfs                                         telfsi
Hohenems                                         hoenemsi
SV Austria Salzburg                              sv austria salcburgi
Kufstein                                         kufStaini
SC Imst                                          imsti
WSG Swarovski Tirol II                           tiroli II
SV Fuegen                                        fiugeni
Dinamo Brest                                     dinamo bresti
BATE Borisov                                     bate
Rukh Brest                                       rux bresti
Torpedo Zhodino                                  torpedo Jodino
Dinamo Minsk                                     dinamo minski
Shakhtyor Soligorsk                              Saxtior soligorski
Vitebsk                                          vitebski
Lokomotiv Gomel                                  lokomotiv gomeli
Dinamo-Brest Malorita                            dinamo-brest malorita
Ostrovets                                        ostroveci
Dyush-3 Stenles Pinsk                            stenles pinski
Orsha                                            orSa
Gorki                                            gorki
Baranovichi                                      baranoviCi
Smorgon                                          smorgoni
Bumprom                                          bumpromi
Molodechno                                       molodeCno
Naftan Novopolotsk                               naftani
Nacional Potosi                                  nasional potosi
Blooming                                         blumingi
Rudar Prijedor                                   rudar priedori
Zrinjski Mostar                                  zrinski
Drina Zvornik                                    drina zvorniki
Buducnost Pilica                                 buduCnost pilica
Borac Kozarska Dubica                            borac kozarska dubica
Kozara                                           kozara
Ljubic Prnjavor                                  liubiC prniavori
Sloboda Novi Grad                                sloboda novi gradi
Modrica                                          modriCa
Slavija Sarajevo                                 slavia saraevo
Podrinje                                         podrinie
Tekstilac Derventa                               teqstilac derventa
Sloga Doboj                                      sloga doboi
Omarska                                          omarska
Zvijezda 09                                      zvezda 09
Zeljeznicar Banja Luka                           JelezniCar bania luka
Krupa                                            krupa
Tombense                                         tombense
Bahia                                            bahia
Criciuma                                         krisiuma
Cruzeiro                                         kruzeiro
CS Alagoano                                      ksa
EC Sao Jose                                      san-Joze
Atletico Cearense                                atletiko searense
Figueirense                                      figuirense
Ferroviario                                      feroviario
Porto Velho EC                                   portu-veliu
Rio Branco                                       rio branko
Tuna Luso                                        tuna luSo
SE Juventude                                     Juventude
4 de Julho                                       4 Juliu
Pacajus SC                                       pakaiusi
Sao Paulo Crystal                                san paulu kristali
Retro                                            retro
Costa Rica EC                                    kosta rika ek
Caldense                                         kaldense
Urt MG                                           urt
Real Noroeste                                    noroeste
Bahia de Feira                                   baia de feira
Parana Clube                                     parana
Portuguesa RJ                                    portugeza rJ
Cianorte                                         sianorti
Perolas Negras                                   perolas negrasi
Sao Bernardo                                     san bernardu
Nova Iguacu                                      nova iguasu
CE Aimore                                        aimore
Juventus SC                                      Juventus sk
Marcilio Dias                                    marsilio diasi
Sao Luiz                                         san luizi
Santos AP                                        santosi ap
EC Cruzeiro                                      ek kruzeiro
Esportivo                                        esportivo
Tupy                                             tupi
Avenida                                          avenida
Esporte Clube Sao Gabriel                        san gabrieli
Santacruzense                                    santakruzense
Assisense                                        asisence
SC Corinthians SP                                korintiansi sp
SE Kindermann SC                                 kindermani
Red Bull Bragantino SP                           bragantino
Esmac PA                                         esmak pa
SC Internacional RS                              internasionali
Real Brasilia FC DF                              real brazilia
Botev Plovdiv                                    botevi
Beroe                                            beroe
Coquimbo Unido                                   koqiuimbo
La Serena                                        la serena
Audax Italiano                                   audaqsi
Santiago Wanderers                               santiago vanderersi
Puerto Montt                                     puerto monti
AS Bng                                           as bng
Patronage Sainte-Anne                            patronaJ sent-ani
V. Club Mokanda                                  v. qlab mokanda
Nico-Nicoye                                      niko-nikoie
Cibalia                                          cibalia
NK Croatia Zmijavci                              xorvatia zmiiavci
Dubrava Zagreb                                   dubrava
NK Varazdin                                      varaJdini
HNK Orijent 1919                                 orient 1919
Opatija                                          opatia
Inter Zapresic                                   inter zapreJiCi
Solin                                            solini
NK Dugopolje                                     nk dugopolie
Rudes                                            rudeSi
NK Kustosija                                     kustosiia
Dinamo Zagreb B                                  dinamo zagrebi b
Osijek B                                         osieki b
Bijelo Brdo                                      bielo brdo
Slavoj Vysehrad                                  visegradi
SK Slavia Praha B                                slavia praRa b
Sokolov                                          sokolovi
Benesov                                          beneSovi
Kraluv Dvur                                      kraluv dvuri
Admira Prague                                    admira praRa
Jablonec B                                       iabloneci b
SK Zapy                                          sk zapi
Slovan Liberec B                                 slovan libereci b
Prepere                                          prepere
Slovan Velvary                                   slovan velvari
Hradec Kralove B                                 hradec kralove b
Usti nad Orlici                                  usti nad orlici
Chlumec nad Cidlinou                             xlumec nad cidlinou
Opava                                            opava
Banik Ostrava                                    banik ostrava
Viktoria Plzen                                   viqtoria plzeni
Slavia Prague                                    slavia praRa
1 FC Slovacko                                    slovacko
Meteor Prague                                    meteor praRa
Ceske Budejovice                                 CeSske budeiovice
Fastav Zlin                                      fastav zlini
Zbrojovka Brno                                   zbroiovka brno
Sparta Prague                                    sparta praRa
Sigma Olomouc                                    sigma olomouci
1.FK Pribram                                     prSibrami
Ringsted                                         ringstedi
Holbaek                                          holbeki
KFUM                                             kfum
Koege Nord                                       kioge nordi
Skovshoved                                       skovSovedi
AB Taarnby                                       ab tornbiu
Tarup-Paarup                                     tarup porupi
Aarhus Fremad II                                 arhus fremadi II
B 1909                                           b 1909
OKS                                              oks
Marienlyst                                       marienlisti
Fuglebakken KFUM Aarhus                          fuglebakeni
Vejgaard                                         veigaardi
Fortuna Hjoerring                                fortuna hioringi
KoldingQ                                         kolingi
AGF                                              agf
Odense Q                                         odense
B93                                              b93
Sundby                                           sundbiu
Vildbjerg                                        vildbiergi
NIF HG                                           nif hg
JAI Aarhus                                       jai orhusi
Oesterbro IF                                     osterbro
Gualaceo SC                                      gualaseo
Imbabura S.C.                                    imbabura
Elva                                             elva
Nomme United                                     nomme iunaitedi
Ida-Virumaa FC Alliance                          ida-viruma aliansi
Viimsi MRJK                                      viimsi mrJk
07 Vestur Sorvagur                               07 vesturi
Skala                                            skala
Vikingur Gota II                                 vikingur II
TB Tvoeroyri                                     tb/fks/roini
Undrid FF                                        undridi
HPS                                              hps
Tampereen Ilves                                  ilvesi
NJS                                              nis
ONS                                              ons
Caen B                                           kani b
Plabennec                                        plabeneki
Romorantin                                       romorantini
Poissy                                           puasi
Rouen                                            ruani
Guingamp B                                       gengami b
St. Malo                                         st. malo
St-Pryve St-Hilaire                              sent-ileri
US Granvillaise                                  granvile
C Chartres Football                              Sartri
Vannes                                           vani
Voltigeurs de Chateaubriant                      voltiJer de Satobriani
Versailles                                       versali
Blois                                            blua
Vitre                                            vitri
Lorient B                                        loriani b
ASM Belfort                                      asm belfori
Reims B                                          reimsi b
Beauvais                                         bove
Sainte Genevieve                                 sent Jenevievi
Entente SSG                                      antanti ssg
FCSR Haguenau                                    fksr ageno
Epinal                                           epinali
Auxerre B                                        oseri b
Fleury 91                                        fleri 91
Lens B                                           lansi b
Metz B                                           meci b
Bobigny                                          bobini
Schiltigheim                                     Siltighaimi
Gobelins                                         gobelini
St Maur Lusitanos                                st. mor luzi
Saint-Quentin                                    san kventini
Etoile Frejus Saint-Raphael                      etual sent-rafaeli
Aubagne                                          obani
Marseille B                                      marseli b
Hyeres                                           ieri
Louhans Cuiseaux                                 luan kiuizo
Lyon la Duchere                                  lion diuSeri
RC Grasse                                        rk grasi
Martigues                                        martigi
Marignane/Gignac                                 marinian Jiniaki
Monaco B                                         monako b
Lyon B                                           lioni b
SC Toulon                                        sk tuloni
GOAL                                             goal
St. Priest                                       sen pristi
Jura Sud                                         iura sudi
Angers B                                         anJeri b
Andrezieux                                       andrezie
AS Beziers                                       bezie
Angouleme                                        angulemi
Bergerac Perigord                                berJerak perigori
Bourges 18                                       burJ 18
Nantes B                                         nanti b
Le Puy                                           le piui
US Colomiers                                     kolomiersi
Les Herbiers                                     lez erbie
Chamalieres                                      Samalie
Moulins Yzeure                                   mulen iziori
Trelissac                                        trelisaki
Stade Montois                                    stad montua
Canet Roussillon                                 kane rusilioni
Nantes                                           nanti
Stade Brestois 29                                bresti
ASJ Soyaux                                       suaio
Guingamp                                         gengami
Dijon FCO                                        diJoni
Reims                                            reimsi
Fleury Merogis U.S                               fleri meroJi
Saint Etienne                                    sent etieni
GPSO 92 Issy                                     issi
Montpellier                                      monpelie
Gareji 1960                                      gareji 1960
Shevardeni 1906                                  Sevardeni 1906
Zugdidi                                          zugdidi
Samtredia                                        samtredia
Merani Martvili                                  martvilis merani
WIT Georgia Tbilisi                              vit jorjia Tbilisi
Spaeri                                           spaeri
Shukura Kobuleti                                 Suqura
BFC Dynamo                                       bfk dinamo
Oldenburg                                        oldenburgi
SSV Jeddeloh II                                  eddelo II
St.Pauli II                                      sankt-pauli II
VfL Wolfsburg                                    volfsburgi
Athlitiki Enosi Larissas                         atlitiki enosi larisasi
Avantes Halkidas                                 avantes halkidasi
PAOK Thessaloniki                                paoki
Ergotelis                                        ergotelisi
MTK Hungaria                                     mtk ungreTi
Viktoria FC Szombathe                            xaladaS viqtoria
Soroksar SC Budapest                             SorokSari
Kelen SC                                         keleni
KV Vesturbaer                                    kv vesturbaeri
Vikingur Olafsvik                                vikingur oulafsviki
Fjardabyggd/Leiknir                              fiardabigd / leikniri
Fjallabyggdar                                    fialabiugdi
Tindastoll                                       tindastoli
Al Naft                                          al nafti
Al Zawraa                                        al zavraa
Baghdad                                          baRdadi
Al Minaa                                         al minaa
Erbil                                            erbili
Al Sinaah                                        al sinaa
Naft Maysan                                      maisani
Al Diwaniya                                      al divania
Al Talaba                                        al talaba
Samarra                                          samara
DLR Waves                                        dublin ueivzi
Galway                                           goluei
Peamount United                                  pimaunTi
Wexford Youths                                   veqsford iusi
Athlone Town AFC                                 aTlon Tauni
Poggibonsi                                       pogibonsi
US Gavorrano                                     gavorano
Inter                                            interi
Giravanz Kitakyushu                              kitakuiuSi
YSCC                                             iokohama skk
Cerezo Osaka Sakai                               sereso osaka
Orca Kamogawa                                    orka kamogava
NGU Loveledge Nagoya                             ngu lavlej nagoia
AS Harima Albion                                 harima albioni
Nittaidai                                        nitaidai
Speranza Osaka-Takatsuki                         speranca
Nippatsu Yokohama FC Seagulls                    nipacu iokohama
Ange Violet Hiroshima                            vaiolet hirosima
Astana Youth                                     astana 2
Igilik                                           igiliki
Ekibastuz                                        ekibastuzi
Zhetysu Taldykorgan                              Jetisu
Kairat-Zhastar                                   yairaT Jastari
Akademia Ontustyk                                akademia ontustiki
Okzhetpes Kokshetau                              okJetpesi
Shakhtar-Bulat Temirtau                          Saxtior bulat temirtau
Baikonur                                         baikanuri
Zhenis                                           Jenisi
Kyran Shymkent                                   kirani
Kaisar Kyzylorda                                 kaisari
Taraz Karatau                                    taraz karatau
Yassi Turkistan                                  iasi
